region,population_thousands,internet_penetration_pct,urban_pop_pct,is_city_of_republican_status
Astana,1500,99,100,1
Almaty,2100,91,100,1
Shymkent,1120,85,100,1
Akmola,740,78,45,0
Aktobe,910,62,62,0
Almaty_region,2100,74,35,0
Atyrau,660,80,50,0
West_Kazakhstan,660,72,50,0
East_Kazakhstan,700,74,55,0
Abai,630,68,45,0
Zhambyl,1150,70,40,0
Karaganda,1350,80,78,0
Kostanay,850,76,55,0
Kyzylorda,840,61,55,0
Mangystau,730,78,60,0
Pavlodar,740,77,65,0
North_Kazakhstan,530,70,45,0
Turkistan,2050,65,20,0
Ulytau,220,65,40,0
